Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,HSOC Zones as of 2018-06-05,OWED Public Spaces,Central Market/Tenderloin Boundary Polygon - Updated,Parks Alliance CPSI (27+TL sites),ESNCAG - Boundary File
2019/09/26 01:52:00 PM,2019/09/26,13:52,2019,Thursday,2019/09/26 01:52:00 PM,85360562050,853605,190721675,192692370,II,Initial,,62050,Warrant,Warrant,"Warrant Arrest, Enroute To Outside Jurisdiction",Cite or Arrest Adult,FILLMORE ST \ GREENWICH ST,26747000,Northern,Marina,2,37.79895184912758,-122.43586632130817,POINT (-122.43586632130817 37.79895184912758),15,4,6,13,,,,,
2019/10/03 11:43:00 PM,2019/10/03,23:43,2019,Thursday,2019/10/03 11:43:00 PM,85421364020,854213,190744570,192764464,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,SYCAMORE ST \ VALENCIA ST,24172000,Mission,Mission,8,37.76257883049033,-122.42166247826907,POINT (-122.42166247826907 37.76257883049033),53,3,5,20,3,,,,
2019/10/04 10:18:00 AM,2019/10/04,10:18,2019,Friday,2019/10/04 12:30:00 PM,85445326080,854453,190745619,192771763,II,Initial,,26080,Other Miscellaneous,Other,Conspiracy,Cite or Arrest Adult,MARKET ST \ POWELL ST,34016000,Tenderloin,Financial District/South Beach,3,37.784560141211806,-122.40733704162238,POINT (-122.40733704162238 37.784560141211806),19,5,3,8,,35,,,
2019/10/04 01:33:00 AM,2019/10/04,01:33,2019,Friday,2019/10/04 01:46:00 AM,85428904011,854289,190744746,192770156,II,Initial,,04011,Assault,Aggravated Assault,"Assault, Aggravated, W/ Gun",Cite or Arrest Adult,02ND ST \ MARKET ST,30734000,Central,Financial District/South Beach,3,37.789264321511176,-122.4013754923669,POINT (-122.4013754923669 37.789264321511176),108,6,3,8,,35,,,
2019/10/04 12:44:00 AM,2019/10/04,00:44,2019,Friday,2019/10/04 12:54:00 AM,85423564085,854235,190744724,192770078,II,Initial,,64085,Other Miscellaneous,Other,Investigative Detention,Open or Active,PRENTISS ST \ CORTLAND AVE,21068000,Ingleside,Bernal Heights,9,37.73971000844432,-122.4119916391387,POINT (-122.4119916391387 37.73971000844432),83,9,2,2,,,,,
2019/10/04 08:20:00 AM,2019/10/04,08:20,2019,Friday,2019/10/04 09:07:00 AM,85433019057,854330,190745108,192770865,II,Initial,,19057,Disorderly Conduct,Intimidation,Terrorist Threats,Open or Active,SHAFTER AVE \ GRIFFITH ST,20116000,Bayview,Bayview Hunters Point,10,37.72573637177566,-122.38137737558108,POINT (-122.38137737558108 37.72573637177566),78,2,9,1,,,,,
2019/10/04 10:45:00 AM,2019/10/04,10:45,2019,Friday,2019/10/04 10:47:00 AM,85438705073,854387,190745374,192771356,II,Initial,,05073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Cite or Arrest Adult,STOCKTON ST \ GEARY ST,24901000,Central,Financial District/South Beach,3,37.7875680237141,-122.40658988465438,POINT (-122.40658988465438 37.7875680237141),19,6,3,8,,,,,
2019/10/03 07:50:00 PM,2019/10/03,19:50,2019,Thursday,2019/10/03 11:17:00 PM,85441906244,854419,190744495,192764420,II,Initial,,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,SUTTER ST \ MASON ST,24920000,Central,Nob Hill,3,37.78901633734544,-122.41024243940024,POINT (-122.41024243940024 37.78901633734544),19,6,3,21,,,,,
2019/08/03 12:00:00 PM,2019/08/03,12:00,2019,Saturday,2019/10/03 11:22:00 AM,85398905073,853989,190742449,192761658,II,Initial,,05073,Burglary,Burglary - Other,"Burglary, Other Bldg., Unlawful Entry",Open or Active,UNION ST \ OCTAVIA ST,26717000,Northern,Marina,2,37.79792540700026,-122.42891397690136,POINT (-122.42891397690136 37.79792540700026),15,4,6,13,,,,,
2019/10/02 12:00:00 PM,2019/10/02,12:00,2019,Wednesday,2019/10/03 02:23:00 PM,85423906244,854239,196208380,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,LAKE MERCED BLVD \ BROTHERHOOD WAY,33540000,Taraval,Lakeshore,7,37.714694511853885,-122.4852289359513,POINT (-122.4852289359513 37.714694511853885),43,10,8,16,,,,,
2019/10/03 03:00:00 PM,2019/10/03,15:00,2019,Thursday,2019/10/04 11:19:00 AM,85435503073,854355,190745459,192771481,II,Initial,,03073,Robbery,Robbery - Other,"Robbery, W/ Other Weapon",Open or Active,NEW MONTGOMERY ST \ MARKET ST \ MONTGOMERY ST,30735000,Central,Financial District/South Beach,6,37.78872115135928,-122.4020657306611,POINT (-122.4020657306611 37.78872115135928),32,6,10,8,,35,,,
2019/10/04 01:00:00 PM,2019/10/04,13:00,2019,Friday,2019/10/04 05:03:00 PM,85448006243,854480,190746388,192772983,II,Initial,,06243,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, $200-$950",Open or Active,COLUMBUS AVE \ BEACH ST,25598000,Central,Russian Hill,2,37.806780111468534,-122.4195772441978,POINT (-122.4195772441978 37.806780111468534),99,6,6,32,,,,,
